# Time[s]    Strain
7.788085937500000000e-02 1.746768180535122986e-22
7.812500000000000000e-02 1.667300521088913141e-22
7.836914062500000000e-02 1.546819106781597694e-22
7.861328125000000000e-02 1.403173722062532939e-22
7.885742187500000000e-02 1.231569712984113202e-22
7.910156250000000000e-02 1.011534505740055559e-22
7.934570312500000000e-02 7.229039541071269713e-23
7.958984375000000000e-02 3.623837371943285415e-23
7.983398437500000000e-02 -4.630625964368504595e-24
8.007812500000000000e-02 -4.527581125427678480e-23
8.032226562500000000e-02 -7.914081168172859857e-23
8.056640625000000000e-02 -1.001168691503069200e-22
8.081054687500000000e-02 -1.046175751246558780e-22
8.105468750000000000e-02 -9.295780800091440275e-23
8.129882812500000000e-02 -6.951442053131198802e-23
8.154296875000000000e-02 -4.157292903184850494e-23
8.178710937500000000e-02 -1.719912474893021192e-23
8.203125000000000000e-02 -2.900901582096252835e-24
8.227539062500000000e-02 -1.977130197124745377e-24
8.251953125000000000e-02 -1.408161963804899266e-23
8.276367187500000000e-02 -3.595873050706391873e-23
8.300781250000000000e-02 -6.292602817768862080e-23
8.325195312500000000e-02 -9.049664961142625462e-23
8.349609375000000000e-02 -1.154307061952619396e-22
8.374023437500000000e-02 -1.356824450728253415e-22
8.398437500000000000e-02 -1.493948742391701663e-22
8.422851562500000000e-02 -1.539131689286891425e-22
8.447265625000000000e-02 -1.459619594235996624e-22
8.471679687500000000e-02 -1.233403368083185002e-22
8.496093750000000000e-02 -8.728437545032423275e-23
8.520507812500000000e-02 -4.392422552065715695e-23
8.544921875000000000e-02 -3.509158660043690937e-24
8.569335937500000000e-02 2.277790920734579086e-23
8.593750000000000000e-02 2.710585070956066967e-23
8.618164062500000000e-02 8.249589975408597235e-24
8.642578125000000000e-02 -2.778375983540339821e-23
8.666992187500000000e-02 -6.991865501856957607e-23
8.691406250000000000e-02 -1.058556163373474938e-22
8.715820312500000000e-02 -1.260217764697418697e-22
8.740234375000000000e-02 -1.263677243355679680e-22
8.764648437500000000e-02 -1.093764571902142633e-22
8.789062500000000000e-02 -8.307223975143701442e-23
8.813476562500000000e-02 -5.807742833570216326e-23
8.837890625000000000e-02 -4.337332906525279942e-23
8.862304687500000000e-02 -4.237029322977615377e-23
8.886718750000000000e-02 -5.129949935554354846e-23
8.911132812500000000e-02 -6.101295465035432160e-23
8.935546875000000000e-02 -6.139355162589116622e-23
8.959960937500000000e-02 -4.613371928676705347e-23
8.984375000000000000e-02 -1.568257006419031429e-23
9.008789062500000000e-02 2.267950472499830851e-23
9.033203125000000000e-02 5.746102456359389581e-23
9.057617187500000000e-02 7.723581810952917950e-23
9.082031250000000000e-02 7.493072380578073902e-23
9.106445312500000000e-02 5.038262435620331657e-23
9.130859375000000000e-02 1.016093344015899305e-23
9.155273437500000000e-02 -3.511183863889529108e-23
9.179687500000000000e-02 -7.465653649302761694e-23
9.204101562500000000e-02 -1.009613944054081032e-22
9.228515625000000000e-02 -1.114369963539851483e-22
9.252929687500000000e-02 -1.079418716757425701e-22
9.277343750000000000e-02 -9.478444131195693596e-23
9.301757812500000000e-02 -7.639434624187912269e-23
9.326171875000000000e-02 -5.580709339139138689e-23
9.350585937500000000e-02 -3.444858150121361941e-23
9.375000000000000000e-02 -1.296340346456267773e-23
9.399414062500000000e-02 7.549464681549191991e-24
9.423828125000000000e-02 2.467177889213207674e-23
9.448242187500000000e-02 3.489014618881715539e-23
9.472656250000000000e-02 3.506391395446975045e-23
9.497070312500000000e-02 2.445237694631510981e-23
9.521484375000000000e-02 6.179706606940664956e-24
9.545898437500000000e-02 -1.284231094145404788e-23
9.570312500000000000e-02 -2.394987302244077420e-23
9.594726562500000000e-02 -2.019089632220703721e-23
9.619140625000000000e-02 2.635361149754655673e-25
9.643554687500000000e-02 3.248906681813617320e-23
9.667968750000000000e-02 6.602375569121302008e-23
9.692382812500000000e-02 8.880689933307980638e-23
9.716796875000000000e-02 9.242332053726872581e-23
9.741210937500000000e-02 7.624615207509528679e-23
9.765625000000000000e-02 4.811916293939272780e-23
9.790039062500000000e-02 2.085180936711699813e-23
9.814453125000000000e-02 6.294554570522301428e-24
9.838867187500000000e-02 1.023990255853464905e-23
9.863281250000000000e-02 3.062715224578494165e-23
9.887695312500000000e-02 5.930191336595512864e-23
9.912109375000000000e-02 8.581335795195931482e-23
9.936523437500000000e-02 1.014394828157050917e-22
9.960937500000000000e-02 1.021916670066812548e-22
9.985351562500000000e-02 9.001080067582230085e-23
1.000976562500000000e-01 7.175971732648910813e-23
1.003417968750000000e-01 5.637229661203127927e-23
1.005859375000000000e-01 5.131710372075832266e-23
1.008300781250000000e-01 5.969635735850690653e-23
1.010742187500000000e-01 7.887308052252281100e-23
1.013183593750000000e-01 1.010412192610937905e-22
1.015625000000000000e-01 1.157070427314301613e-22
1.018066406250000000e-01 1.133920659344031628e-22
1.020507812500000000e-01 8.924042205525046465e-23
1.022949218750000000e-01 4.515819003586731219e-23
1.025390625000000000e-01 -1.030667457329822068e-23
1.027832031250000000e-01 -6.429340042000993553e-23
1.030273437500000000e-01 -1.033633314535972057e-22
1.032714843750000000e-01 -1.174188762283959215e-22
1.035156250000000000e-01 -1.026262350577870873e-22
1.037597656250000000e-01 -6.256102071373015465e-23
1.040039062500000000e-01 -7.281192133222319562e-24
1.042480468750000000e-01 4.959105208800513832e-23
1.044921875000000000e-01 9.525386514302354356e-23
1.047363281250000000e-01 1.222647115441065800e-22
1.049804687500000000e-01 1.312092697887254513e-22
1.052246093750000000e-01 1.298488628943297630e-22
1.054687500000000000e-01 1.288463532451277167e-22
1.057128906250000000e-01 1.361891855464807622e-22
1.059570312500000000e-01 1.531764565514885760e-22
1.062011718750000000e-01 1.738555960062850584e-22
1.064453125000000000e-01 1.879492942270051389e-22
1.066894531250000000e-01 1.857086092644907927e-22
1.069335937500000000e-01 1.623942151320967394e-22
1.071777343750000000e-01 1.204807955851985619e-22
1.074218750000000000e-01 6.892878281224957942e-23
1.076660156250000000e-01 2.013373313396274770e-23
1.079101562500000000e-01 -1.418717582010327300e-23
1.081542968750000000e-01 -2.681648111083784780e-23
1.083984375000000000e-01 -1.739613932439339563e-23
1.086425781250000000e-01 7.401484056141941384e-24
1.088867187500000000e-01 3.595888532079536383e-23
1.091308593750000000e-01 5.551236409209711652e-23
1.093750000000000000e-01 5.662967447588173465e-23
1.096191406250000000e-01 3.684802747525276757e-23
1.098632812500000000e-01 1.876926251349064683e-24
1.101074218750000000e-01 -3.637989498865559025e-23
1.103515625000000000e-01 -6.432549991377518795e-23
1.105957031250000000e-01 -7.196320426395684941e-23
1.108398437500000000e-01 -5.692206693452594349e-23
1.110839843750000000e-01 -2.552995921786390361e-23
1.113281250000000000e-01 9.694875011838658437e-24
1.115722656250000000e-01 3.513912338355628368e-23
1.118164062500000000e-01 4.130577329534088349e-23
1.120605468750000000e-01 2.553218962753250786e-23
1.123046875000000000e-01 -8.767698138409703982e-24
1.125488281250000000e-01 -5.506601859715749550e-23
1.127929687500000000e-01 -1.065001954797562493e-22
1.130371093750000000e-01 -1.568674057093219471e-22
1.132812500000000000e-01 -2.001039118399825952e-22
1.135253906250000000e-01 -2.298347957032591468e-22
1.137695312500000000e-01 -2.402681667164293190e-22
1.140136718750000000e-01 -2.282120815010849323e-22
1.142578125000000000e-01 -1.947958018505436087e-22
1.145019531250000000e-01 -1.455782826058140201e-22
1.147460937500000000e-01 -8.882799564630861353e-23
1.149902343750000000e-01 -3.288084353432515653e-23
1.152343750000000000e-01 1.607344013217972847e-23
1.154785156250000000e-01 5.478444752559996916e-23
1.157226562500000000e-01 8.223256731702920453e-23
1.159667968750000000e-01 9.829847748573042184e-23
1.162109375000000000e-01 1.030199646003426345e-22
1.164550781250000000e-01 9.697773286702237078e-23
1.166992187500000000e-01 8.225102858363877756e-23
1.169433593750000000e-01 6.292401374449737859e-23
1.171875000000000000e-01 4.458545052406124301e-23
1.174316406250000000e-01 3.292157662285839934e-23
1.176757812500000000e-01 3.180510139310096014e-23
1.179199218750000000e-01 4.141357710256316937e-23
1.181640625000000000e-01 5.715244240994822959e-23
1.184082031250000000e-01 7.031299291394014918e-23
1.186523437500000000e-01 7.092270163577100593e-23
1.188964843750000000e-01 5.202242425276426620e-23
1.191406250000000000e-01 1.343512794427522558e-23
1.193847656250000000e-01 -3.698313807077409839e-23
1.196289062500000000e-01 -8.545413520953969159e-23
1.198730468750000000e-01 -1.170172417105421479e-22
1.201171875000000000e-01 -1.210578093391986321e-22
1.203613281250000000e-01 -9.549160682127917948e-23
1.206054687500000000e-01 -4.797542909197897739e-23
1.208496093750000000e-01 6.372875127501018293e-24
1.210937500000000000e-01 4.997138684052242597e-23
1.213378906250000000e-01 6.877862424124303718e-23
1.215820312500000000e-01 5.724793976949529707e-23
1.218261718750000000e-01 2.038099094951694767e-23
1.220703125000000000e-01 -2.816371749405567871e-23
1.223144531250000000e-01 -7.149862899992208961e-23
1.225585937500000000e-01 -9.635500841629204671e-23
1.228027343750000000e-01 -9.823782722871504408e-23
1.230468750000000000e-01 -8.245594553757834226e-23
1.232910156250000000e-01 -6.083010421860499609e-23
1.235351562500000000e-01 -4.611442433541645502e-23
1.237792968750000000e-01 -4.683179917923540835e-23
1.240234375000000000e-01 -6.432194146402180024e-23
1.242675781250000000e-01 -9.252028897952788781e-23
1.245117187500000000e-01 -1.201699147150872913e-22
1.247558593750000000e-01 -1.347505460820258642e-22
1.250000000000000000e-01 -1.269905843337427317e-22
1.252441406250000000e-01 -9.438580051978207386e-23
1.254882812500000000e-01 -4.222286452278178888e-23
1.257324218750000000e-01 1.835046537260460513e-23
1.259765625000000000e-01 7.418229652243207285e-23
1.262207031250000000e-01 1.141036575109225642e-22
1.264648437500000000e-01 1.316198857181591616e-22
1.267089843750000000e-01 1.258013349431990957e-22
1.269531250000000000e-01 1.006321617019464348e-22
1.271972656250000000e-01 6.340322230774334592e-23
1.274414062500000000e-01 2.272434843261221321e-23
1.276855468750000000e-01 -1.337389714421016960e-23
1.279296875000000000e-01 -3.890617159436904853e-23
1.281738281250000000e-01 -5.079826747079543819e-23
1.284179687500000000e-01 -4.909526857494879648e-23
1.286621093750000000e-01 -3.647497549380583569e-23
1.289062500000000000e-01 -1.714861405132468053e-23
1.291503906250000000e-01 4.498524558622910554e-24
1.293945312500000000e-01 2.497542890023552641e-23
1.296386718750000000e-01 4.205590282721572904e-23
1.298828125000000000e-01 5.452348373865581581e-23
1.301269531250000000e-01 6.174082591813350283e-23
1.303710937500000000e-01 6.337442714447872519e-23
1.306152343750000000e-01 5.923070644983848564e-23
1.308593750000000000e-01 4.909972495979880644e-23
1.311035156250000000e-01 3.282232833469856436e-23
1.313476562500000000e-01 1.090008186402096239e-23
1.315917968750000000e-01 -1.455186208355194783e-23
1.318359375000000000e-01 -3.930966706522558860e-23
1.320800781250000000e-01 -5.765588782322269165e-23
1.323242187500000000e-01 -6.398962937687970891e-23
1.325683593750000000e-01 -5.478233126686557721e-23
1.328125000000000000e-01 -3.021763247249026704e-23
1.330566406250000000e-01 5.057889237248359962e-24
1.333007812500000000e-01 4.263110491564049999e-23
1.335449218750000000e-01 7.269973107026993392e-23
1.337890625000000000e-01 8.750934484491428045e-23
1.340332031250000000e-01 8.437385077337216914e-23
1.342773437500000000e-01 6.676414214105572994e-23
1.345214843750000000e-01 4.284027057462894519e-23
1.347656250000000000e-01 2.201036294125334773e-23
1.350097656250000000e-01 1.103178571631263494e-23
1.352539062500000000e-01 1.142374027644655022e-23
1.354980468750000000e-01 1.930085168337489257e-23
1.357421875000000000e-01 2.752883166464161139e-23
1.359863281250000000e-01 2.916549645522011125e-23
1.362304687500000000e-01 2.083203204141097462e-23
1.364746093750000000e-01 4.662080087908317081e-24
1.367187500000000000e-01 -1.224034814782807636e-23
1.369628906250000000e-01 -2.090573594118972849e-23
1.372070312500000000e-01 -1.476584564452640135e-23
1.374511718750000000e-01 7.048613092479905612e-24
1.376953125000000000e-01 3.888574194002498668e-23
1.379394531250000000e-01 7.050575572144676360e-23
1.381835937500000000e-01 9.098322327180793776e-23
1.384277343750000000e-01 9.293321338935894567e-23
